CODE,PFTOT,PF0004,PF0509,PF1014,PF1519,PF2024,PF2529,PF3034,PF3539,PF4044,PF4549,PF5054,PF5559,PF6064,PF6569,PF7074,PF7579,PF8084,PF85P
10010614,185,8,11,17,11,3,7,14,17,25,22,17,7,7,7,6,4,2,0
10010615,764,49,60,67,46,30,30,44,70,74,56,41,30,29,28,28,22,23,37
10010616,205,6,8,7,6,7,17,16,16,17,14,18,18,18,13,10,6,4,4
10010617,1487,72,103,114,98,77,102,112,136,174,129,106,80,67,47,31,16,14,9
10010618,338,12,15,25,28,23,24,21,22,36,37,33,23,13,8,9,4,3,2
10010619,282,9,11,16,14,12,19,23,24,25,21,22,24,22,15,13,8,3,1
10010620,469,14,6,12,9,9,38,51,23,9,12,13,7,10,25,36,62,41,92
10010621,318,19,13,15,13,20,40,41,39,26,19,23,17,10,8,3,2,3,7
10010622,338,30,21,24,17,18,26,38,39,31,21,18,14,11,10,6,8,4,2
10010623,327,18,16,20,13,17,25,25,26,21,25,30,23,17,17,13,11,6,4
10010624,214,11,5,7,7,10,9,18,13,13,14,15,12,21,18,17,10,9,5
10010625,200,9,6,10,11,8,10,13,12,16,14,13,11,16,12,17,11,6,5
10010626,186,6,4,6,7,7,7,10,11,16,25,20,13,11,9,11,9,8,6
10010627,226,7,6,13,11,4,7,12,13,16,14,13,15,24,18,21,15,11,6
10010628,223,7,7,6,8,10,17,12,15,17,14,15,16,19,18,18,9,9,6
10010629,557,21,24,30,26,27,33,29,34,41,34,46,52,61,45,30,15,5,4
10010630,198,6,4,7,8,9,11,17,16,10,12,16,13,17,17,22,9,2,2
10010631,105,5,5,6,6,4,2,3,5,6,5,10,13,11,9,7,5,2,1
10010632,356,12,14,13,13,19,19,16,14,21,22,41,44,36,29,20,12,5,6
10010633,356,8,7,12,18,18,22,31,21,22,19,37,41,33,28,22,11,4,2
10010634,409,15,16,14,23,26,25,26,21,27,22,40,44,43,32,20,11,3,1
10010635,204,4,5,10,14,9,9,13,13,16,15,23,23,18,12,7,5,3,5
10010636,463,16,17,17,22,30,35,35,25,26,27,47,50,45,28,20,13,5,5
10010637,399,20,25,17,26,17,20,33,34,31,35,41,39,24,22,8,6,1,0
10010638,230,6,7,7,8,8,12,12,12,12,16,22,30,29,30,10,8,1,0
10010639,179,6,7,9,10,8,6,7,9,13,10,18,17,23,18,9,5,2,2
10010640,191,4,5,8,12,10,10,8,8,10,11,17,19,22,18,12,8,4,5
10010641,218,10,10,7,13,8,17,20,19,14,14,17,17,19,20,7,5,1,0
10010642,266,10,11,7,15,11,19,20,20,15,13,16,22,25,35,14,8,1,4
10010643,291,7,8,6,8,9,18,12,15,14,18,24,17,27,21,31,26,22,8
10010644,784,69,53,37,29,28,52,89,87,69,52,51,52,43,24,25,12,6,6
10010645,211,5,5,9,8,9,17,11,14,17,15,17,15,20,16,14,7,6,6
10010646,399,17,19,15,19,19,23,14,14,25,28,33,28,36,28,29,18,19,15
10010647,217,11,11,7,5,8,14,9,15,17,13,14,16,19,17,17,9,9,6
10010648,166,3,4,7,6,4,8,7,9,14,14,13,14,14,15,15,9,7,3
10010649,170,9,11,9,6,6,8,4,9,6,6,10,12,15,13,17,12,12,5
10010650,203,10,9,8,6,7,14,9,8,12,15,16,17,16,11,14,12,12,7
10010651,766,47,34,33,26,39,76,88,85,64,51,45,38,26,29,21,19,13,32
10010652,268,19,15,16,8,8,22,40,35,20,14,15,14,12,11,9,7,2,1
10010653,409,26,19,23,17,22,39,34,33,30,30,39,33,19,17,12,8,5,3
10010654,269,6,7,9,13,12,17,15,22,20,24,23,26,27,16,16,7,5,4
10010655,167,5,5,7,7,7,9,9,12,8,13,11,12,23,21,11,4,2,1
10010656,375,14,17,18,27,26,24,15,15,18,33,31,39,39,25,19,8,5,2
10010657,198,11,13,10,8,7,12,12,14,8,9,12,20,22,16,14,5,3,2
10010658,199,7,9,7,6,10,9,9,13,12,19,16,11,27,20,11,5,4,4
